id;data_comment
51;quán sạch sẽ,đồ ăn tuyệt vời,nhân viên cũng rất tuyệtttttttt tuyệtttty vờiiiiiii...
52;Quán đồ ăn ngon, nhân viên lại nhiệt tình...
53;Lần đầu tiên thấy nhà hàng có các bạn phục vụ đáng yêu như vậy
54;Ngon...thịt tươi, đồ ăn phong phú nhân viên phục vụ rất tốt
55;Nhân viên phúc vục siêu nhiệt tình và chu đáo
56;Ngon.. giá hợp lý
57;Món ăn ngon. Ra món lẹ
58;Đồ ăn ngon, phục vụ chu đáo
59;Đò ăn ngon, khôn gian đẹp nhân viên siêu sịn luôn, đáng yêu vô cùng, nhất là các bạn nữ xinh quá xinh
60;Rất hài lòng khi dùng bữa tại đây
61;Nêm nếm đạm đà, thịt bò rata mềm sẽ ghé nữa
62;Bò mềm, các món khai vị với mỳ ý ổn, phù hợp giá tiền, must tryy nhé kác pạng, không giang thón mát phù hơpn với các kặp đôi
63;Bò mềm, vừa ăn, giá cả vừa phải
64;Steak mềm và ngọt , đặc biệt là sốt tiêu đen rất ngon !!!
65;Decor món ăn đẹp mắt, bò rất thơm không bị hôi làm vừa chín tới nicee
66;Salad tươi và ngonn!! Steak mềm và ngọt, sốt tiêu thơm!!
67;Thức ăn ngon. Giá cả phải chăng.
68;Đặt giao hàng trên Now, giao hàng khá nhanh.
69;Phải nói là Duyệt.
70;Không gian quán rộng rãi thoáng mát lắm.
71;Sao k co để sdt, lỡ k tìm ra quán thì goi dt
72;Đúng chất giờ dây thun luôn :))))
80;Mình hay uống matcha ở đây
81;hủ tiếu ngon
82;Thích uống matcha
83;Nhà hàng trang trí nhẹ nhàng
84;Bạn nhân viên đưa cây kem ốc quế mà mình hết hồn với độ to bự đầy đặn của bông kem so với hình trên menu. Có nhiều vị nhưng ưng nhất là cherry
85;Quán này chiên đồ ăn kiểu gì mà... ngon lắm luôn á 😭 Hồi xưa chưa biết quán toàn ăn Mr.... xong từ hồi biết rồi chỉ ăn ở quán thôi. Cái phô mai que ngon dã man
86;Mình đến thưởng thức hai lần cùng gia đình
87;Hương vị gà chua cay ăn rất bắt cơm hihi! Buổi trưa order thử thì thấy rất lạ miệng và ngon💯 mùi sốt chua chua cay cay vị me nhè nhẹ! Nên thử❤️
88;Mình có đặt ningcha một lần mà sao lần này package lạ quá không có cả label ningcha. Một ly cũng hai mươi ba mươi mấy ngàn bẳng cả những tiệm trà sữa có tên tuổi mà sao như mua ở không có thương hiệu quán dọc đường. Hơi hoảng hồn không biết ở đây có đổi chủ hay fake không mọi ng
89;Nằm khuất nên đi qua lại không thấy. Nếu thật sự muốn tìm quán Hoa ngon
90;Quán bán rẻ
91;Mình thích cọng phở dẹp của Bắc và thích nhất nạm gầu
92;Đúng chất giờ dây thun luôn :))))
93;Nằm khuất nên đi qua lại không thấy. Nếu thật sự muốn tìm quán Hoa ngon
94;kem khá ngọt
95;Bình thường muốn làm uống mà rất lười và không có thời gian
96;Đây là ly ts tinh than tre nhận được
97;Phần cơm 43k
98;Cafe ngon và rẻ nhất khu vực
99;Quá thất vọng về quán ăn. Lần đầu như lần cuối. Vứt nguyên hộp mì. Tẩy chay
100;Quán bán ngon
101;Sao k co để sdt, lỡ k tìm ra quán thì goi dt
102;Thái độ phục vụ kém. Nhân viên không thèm quan tâm khách hàng. Đồ ăn không đủ phục vụ. Không khuyến khích đến lần sau.
103;Thực đơn quảng cáo với thực đơn thực tế trên băng chuyền là một trời một vực. không có cũng quảng cáo là có. phong cách người nhật bổn là đây sao?. nếu chọn sao thì chỗ này sẽ là 0 sao
104;Đây chắc là quán ăn mình thích và hay lui tới nhất suốt mấy năm ở SG
105;Minh thấy quảng cáo quán ngon
106;Thấy quảng cáo ngon nên mình đến mua cho mình và một người bạn HQ
107;Mỳ thì khô
108;Ăn ở quán rất lâu. Biết đến quán lúc còn đi làm bên***quận 3
109;Nhân viên thái độ lồi lõm cáu gắt với khách khi order 
110;Mình rất thích ăn bánh plan ở đây
111;Gọi phần bánh flan 3 cái
113;Công việc nhìu khi stress
114;Một khu du lịch mà mình hay ghé khi đi với gia đình bạn bè. Vừa được thăm quan free vừa có không gian trong lành giữa thành phố nhộn nhịp. Cũng có khu vui chơi và khu ăn uống ngon
115;Mình vừa đi cuối tuần rồi. đồ ăn bình thường những món miền tây nhưng mình nghĩ giá 270k mắc quá sợ với những món ăn có nước tính riêng nữa
116;Năm nào công ty mình cũng tổ chức tất niên ở đây. Không gian thoáng mát
117;Phong thuỷ tốt
118;Chủ shop dễ thương
119;Buffet này nằm trong hotel Lotte Saigon
120;Số lượng món hơi ít so với các KS khác
121;Buffet bên này hơi ít món
122;Do bạn mình làm ở đây nên mỗi lần công ty tổ chức tiệc hay từ thiện đều dẫn mình đi theo. Hôm nay cũng không ngoại lệ. Về không gian cũng như cách phục vụ thì khỏi bàn cãi. Khách sạn rộng
123;Hoàn hảo. Không giang đẹp. Nhân viên nhiệt tình. Đồ ăn rất ngon ( cảm ơn các chef đã cho tôi có một ngày tuyệt vời ở đây)
124;Bánh này ba mình đc tặng
125;Mình đến đây tổ chức sự kiện
126;Sữa chua nho đen, thơm dã man luôn, ngọt của nho tươi , chua dịu của sữa chua. Giải khát lắm luôn. Cả phòng cty mình đều thích uống quán này.
127;do an khoi ngot, khong gian xau, phuc vu kem
128;Năm hơn quay lại. Thấy vẫn ngon. Có cập nhật thêm nhìu món chay mới. Quán vẫn chu đáo. Có đo thân nhiệt khi vào và vệ sinh kỹ nên ăn uống yên tâm!
129;Đây là quán ăn chay mà mình cực kì thích, lần nào tới ấn tượng cũng rất tốt từ phục vụ tới chất lượng đồ ăn. 
130;Tiệm khá gần chỗ làm mình nên hôm nay lại ghé, có góp ý menu tối thì hôm nay lại thấy cuốn màu trắng mới, dễ đọc nhưng lại thiếu hình minh hoạ như cuốn cũ!.
131;Nhà hàng này mình cũng thường xuyên đến ăn lắm nhưng chất lượng món ăn hôm nay hơi thất vọng vì các món ăn đểu thay đổi vị không như xưa nữa.
132;Thật sự là không có gì để chê cả về món ăn lẫn phục vụ và không gian quán. Ấn tượng đầu tiên khi bước vào là mùi thơm thoang thoảng rất dễ chịu.
133;Thích nhân viên phục vụ nhiệt tình, dễ thương. Món ăn ra rất nhiều, ăn không hết mang về được gói hộp rất kỹ càng và tử tế. Cho nhà hàng 10 điểm.
134;Sắp đến tháng 7 âm, tìm đc chỗ này gần nhà, món đậm đà, quán rộng nên luôn có chỗ, nhân viên thiện tình.
135;Tuần rồi có đãi 3 bàn tiệc chay ở đây. Phục vụ ổn, cho nước miễn phí.
136;Quán đông mà cũng đông nhân viên nên phục vụ gọi món khá nhanh! Quán đẹp, sạch dù rất đông. Món chay ngon, nêm nếm vừa ăn.
137;Có thêm mấy món mới bạn nhân viên giới thiệu. Vẫn ngon như xưa. Đặc biệt nên thử món Đậu hủ đông cô, chả giò rế nha! Ngon lắm!
138;Tôi đi ăn vào tối mùng một, cho dù rất đông khách và phải đời bàn hơi lâu, nhưng phục vụ rất tốt, lúc nào cũng lịch sự tươi cười. Lên món cũng nhanh và chất lượng, thật sự hài lòng
139;Nó ngọt kinh khủng khiếp mọi người ạ  Ngọt đến ko ăn nổi lun á
140;Giá không quá cao, Món ăn vừa miệng, màu sắc đẹp. Nói chung là Tuyệt Vời
141;Phục vụ tốt. Lịch sự. Sạch sẽ. Món ăn ngon. Giá cả cực kì hợp lý. Khách đặt bàn là giữ hẳn hoi. Không lộn xộn như những quán khác. Rất thích điẻm áy
142;kha ngon
143;khong gian dep, mon an ngon
144;Món ăn ngon, chế biến khá cầu kỳ, nước cũng ngon.
145;Xôi chiên và nước chấm ngon nhưng bt mình k ăn cơm cháy dc vì dính răng nên ăn cứng cứng xôi k hảo lắm. Mua cho chồng ăn thôi. Nhưng yaua và bánh flan thì ăn khá ngon :D đặc dẻo
146;Thấy mn review khá tốt nên cũng mua ăn thử nhưng hơi thất vọng. Xôi bị mềm và nhân khá mặn. M ăn mặn mà còn thấy mặn thì những b ăn nhạt nên lưu ý trc khi mua nhé.
147;Mình đã ăn xôi chiên rất nhiều chỗ được review rầm rộ, nhưng xôi ở đây là ổn nhất với mình, sốt ko bị ngọt mà kết hợp với xôi rất vừa, những chỗ khác sốt ngọt quá ăn kỳ kỳ. Xôi giao tới vẫn còn nóng giòn, thơm mùi thịt xào với nấm, trình bày đẹp mắt , sạch sẽ vì thế dù ăn thử nhiều nơi nhưng chỗ này là chỗ mình vẫn ưng nhất!!
148;Xôi chiên ở đây trình bày rất đẹp mắt và chất lượng
149;Shop xin lưu ý khách là xôi chiên của shop không có sốt để chấm xôi nha, chỉ có sate, bạn nào ăn cay nhiều thì nhớ ghi chú trên now để shop bỏ thêm hộp sate cho các bạn nha. Lưu ý là XÔI CHIÊN KO CÓ TƯƠNG CHẤM NHƯ GỎI CUỐN NHAAAAAA!!!
150;Xôi ngon và đặt lần thứ 2 k cho nước chấm, xin thêm nước chấm k cho.đặt 10 cái mà cho có xíu nước chấm
151;Bò mềm, vừa ăn, giá cả vừa phải
152;Nêm nếm đạm đà, thịt bò rata mềm sẽ ghé nữa
153;Rất hài lòng khi dùng bữa tại đây
154;Ngon.. giá hợp lý
155;Ngon...thịt tươi, đồ ăn phong phú nhân viên phục vụ rất tốt
156;Khong ngon
157;Đồ ăn tệ
158;Đồ ăn ngon
159;Quán đồ ăn sạch ngon, thời gian ra món nhanh.
160;Nước uống ở đây ngon giá lại rẻ nữa
161;NGON LAM NHA
